 PIP , Quality Score , Process Days , Project Cost 
 1 ,144,10,299839
 2 ,302,21,239108
 3 ,357,10,222737
 4 ,726,4,446830
 5 ,468,9,122586
 6 ,140,10,394960
 7 ,656,22,366513
 8 ,960,18,55461
 9 ,876,8,138821
 10 ,557,11,442224
 11 ,964,21,186067
 12 ,426,14,217960
 13 ,233,21,365636
 14 ,287,21,66360
 15 ,932,21,181908
 16 ,697,17,424914
 17 ,921,15,86095
 18 ,485,20,201084
 19 ,256,8,280930
 20 ,443,10,353402
 21 ,352,11,444796
 22 ,984,22,389163
 23 ,240,4,43920
 24 ,881,5,45270
 25 ,439,20,163601
 26 ,181,5,430698
 27 ,924,6,133006
 28 ,94,14,51913
 29 ,778,22,247877
 30 ,882,22,134797
 31 ,481,14,387459
 32 ,435,7,61921
 33 ,791,17,303490
 34 ,475,5,287888
 35 ,450,7,353156
 36 ,775,17,426197
 37 ,71,4,182416
 38 ,932,4,370909
 39 ,634,11,404660
 40 ,341,17,92468
 41 ,384,9,257994
 42 ,642,10,247462
 43 ,112,12,343220
 44 ,126,17,130577
 45 ,247,12,89963
 46 ,918,17,311866
 47 ,72,7,441039
 48 ,74,7,243117
 49 ,308,7,34443
 50 ,377,18,132433